Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0xd1433aae7bbaef21935f26e171ddd53a8f43580c5861da238285c97c314ae119","Success","Transfer","76934922","2025-09-26 18:46:07","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x5a648cea2748170681300bccc9da48a8602e14751189da314c77371180bbff94","Success","Transfer","76934336","2025-09-26 18:25:23","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xb435c7dccddda6e47bdb2352286291d26df50edd03600ca08dd93fb65d573516","Success","Transfer","76933825","2025-09-26 18:07:17","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x28d50099bba85fc77980c34746b84f02cd5274e319e994acda7e2bd576215d5b","Success","Transfer","76933114","2025-09-26 17:42:05","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xfef6f52e59e0fc8350fbb10529e9bd310e51f2d3cf0a868e99fe3f82dd242b84","Success","Transfer","76908737","2025-09-26 03:18:07","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0xa0e3a2876a37f62df757936e025d55b1efc6dd491cde480fc7ec7e78e36b8026","Success","Transfer","76908618","2025-09-26 03:13:53","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x563ab1c631b66d41c4c7f22701652dad2b8835436ae0e417166767a68dfe61bb","Success","Transfer","76908458","2025-09-26 03:07:41","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x5e59837dcc97491935de9a4f87062345e7e5e69d6cca67dc390170bd69ee413b","Success","Transfer","76907706","2025-09-26 02:41:03","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x0500d61e07b9becffdc75438f9511abfc914f8b9ea4db96ab4f58885de82133d","Success","Transfer","76907057","2025-09-26 02:17:33","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
"0x8369b10027d4dbd31bbdcbe2f2e61aedebdcec1eb2eaf7fe450416b54ba8842e","Success","Transfer","76860386","2025-09-24 22:23:59","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849b0644df6738ccd63b0ea9a51a723ec6cb0483","","55,928.65341985","$0.00","ERC-20: POL(POL)"
