Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
4xBU5fPAzdpBbpyiPxsqcqGoKsgjsuni9wftSf3AnVnATyPqJVtX1Le6bH8Rw4t6AdFncUxB7Tz6ChiqNgxovLtE,1753318799,2025-07-24T00:59:59.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,8uXYNKrXcDFQEu7KBRmoShgibhv5mPgV82M1AcPoBk9X,66317203,out,66.32,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,CLOSE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2039280,out,0.3895,9,SOL,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,541555,out,0.5416,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,TRANSFER,AM2ufuongTfRXoNF2v4FXu9shAD4caLpEi6maPTVmyPV,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,66858758,in,66.86,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,7i5MmHTJNZ5wdLu7zcj9RvYfD1rg37sYFWrWXqBjySUd,350000000,out,66.84,9,So11111111111111111111111111111111111111112,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,350000000,out,66.84,9,SOL,1.0
3Nn7qdDpjd4nxTT13gmDMvRAhkSWa5FMGEuCTne75a4EufS3MDm21ynXsNuco5vN8ENM26HKNFRZ9fAS5QSoVn5k,1753318762,2025-07-24T00:59:22.000Z,CREATE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,EtUNuWRE5SogfEhKNBrzMWVvtpoTFW3bH3sEirxfLrEx,2039280,out,0.3895,9,SOL,1.0
22vNheHRL6kELJxcCSYVTzKxJpPXhYKimCncSeCUeaC61jzutE5eR4wCSz5wTtnpDV8pLqF1AEqP1vrLYCSFqLEn,1753263135,2025-07-23T09:32:15.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,8uXYNKrXcDFQEu7KBRmoShgibhv5mPgV82M1AcPoBk9X,128247805,out,128.25,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
23GicZj5HpYZQTfumkGLSgEYZvzuWALJqaAWAtBihyZYEZdcsrBa7r13fFQz98pxPBHuw91EkMhGKfQNYq9BbGC5,1753262477,2025-07-23T09:21:17.000Z,CLOSE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2039280,out,0.4058,9,SOL,1.0
23GicZj5HpYZQTfumkGLSgEYZvzuWALJqaAWAtBihyZYEZdcsrBa7r13fFQz98pxPBHuw91EkMhGKfQNYq9BbGC5,1753262477,2025-07-23T09:21:17.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,1047290,out,1.0473,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
